"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","RSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","RSMS MultiscaleMOSUM (H050_100_200, Equal)","rsms_multiscalemosum_h050_100_200_equal",0.05,865.158756881455,38.1680953019978,TRUE,21,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-01-31,-30,-45,22.6670665653094,"RSMS, KS, gamma=NA"
"Benchmark","HAC","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0)","hac_fullcusum_gamma_0",0.05,8.74651438147419,7.12244687526449,TRUE,64,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-04-02,13,17,1.22802100663606,"HAC, KS, gamma=0.00"
"Benchmark","HAC","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0)","hac_pagecusum_gamma_0",0.05,26.8367440954095,7.65080975399451,TRUE,41,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-02,-10,-14,3.50769983287037,"HAC, KS, gamma=0.00"
"Benchmark","HAC","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0.15)","hac_fullcusum_gamma_0_15",0.05,10.4004583169314,8.31382872559975,TRUE,63,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-04-01,12,16,1.25098298993177,"HAC, KS, gamma=0.15"
"Benchmark","HAC","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0.15)","hac_pagecusum_gamma_0_15",0.05,46.2030989319273,9.25832604654211,TRUE,41,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-02,-10,-14,4.99043765575567,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.1)","hac_mosum_h_0_1",0.05,677.551805695458,41.7508781203015,TRUE,41,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-02,-10,-14,16.2284444351841,"HAC, KS, gamma=NA"
"Benchmark","HAC","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.2)","hac_mosum_h_0_2",0.05,363.607733416784,39.448001414536,TRUE,46,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-09,-5,-7,9.21739303332108,"HAC, KS, gamma=NA"
"Benchmark","HAC","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0, InvSqrt)","hac_weightedcusum_gamma_0_invsqrt",0.05,82.142396072252,8.63823257095394,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,9.50916699655156,"HAC, KS, gamma=0.00"
"Benchmark","HAC","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0.15, InvSqrt)","hac_weightedcusum_gamma_0_15_invsqrt",0.05,218.302832797799,14.1359352310163,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,15.4431121273682,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","HAC MultiscaleMOSUM (H050_100_200, Equal)","hac_multiscalemosum_h050_100_200_equal",0.05,790.960046583498,43.7216241874262,TRUE,41,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-02,-10,-14,18.090820304223,"HAC, KS, gamma=NA"
